,np1,np2,ap1,ap2,label
14623,0,0,23.07692308,27.27272727,0
59508,0,0,8.333333333,12.5,0
55620,0,0,0,0,0
76113,0,0,20,12.5,0
72751,40,50,9.090909091,16.66666667,1
35425,0,0,6.25,20,0
42985,0,0,20,25,0
73653,0,0,23.07692308,33.33333333,1
49009,0,0,6.666666667,14.28571429,0
60119,0,0,20,42.85714286,1
2013,0,0,22.22222222,20,0
42334,0,0,10.52631579,15.38461538,0
17705,0,0,6.25,10,0
37639,0,0,0,0,0
103917,0,0,5.882352941,11.11111111,0
44574,0,0,20,15.38461538,0
54010,0,0,25,27.27272727,0
27587,0,0,6.666666667,10,0
43973,0,0,14.28571429,11.76470588,0
63705,0,0,9.090909091,10,0
113577,0,0,7.692307692,11.11111111,0
47796,0,0,7.692307692,10,0
59104,0,0,5,14.28571429,0
55516,0,0,0,0,0
105349,0,0,11.76470588,18.18181818,0
75992,0,0,20,14.28571429,0
64491,0,0,7.142857143,12.5,0
7433,0,0,6.666666667,11.11111111,0
76149,0,0,9.090909091,12.5,0
4808,0,0,7.692307692,11.11111111,0
26018,0,0,12.5,28.57142857,0
90169,0,0,8,28.57142857,0
27923,0,0,5,9.090909091,0
111095,0,0,8.333333333,14.28571429,0
1925,0,0,11.11111111,14.28571429,0
112258,0,0,7.142857143,16.66666667,0
70918,0,0,12.5,20,0
62838,0,0,13.33333333,18.18181818,0
102095,0,0,14.28571429,28.57142857,0
13329,0,0,23.07692308,30,1
17379,0,0,8.333333333,10,0
92531,0,0,9.090909091,8.333333333,0
111737,0,0,13.33333333,16.66666667,0
109263,0,0,11.76470588,20,0
100931,0,0,8.333333333,14.28571429,0
86305,0,0,7.692307692,16.66666667,0
23487,0,0,5.882352941,16.66666667,0
29377,0,0,11.11111111,14.28571429,0
53279,0,0,13.04347826,25,0
107932,0,0,25,50,1
97821,0,0,6.666666667,20,0
59039,0,0,5,11.11111111,0
90182,0,0,8,28.57142857,0
35162,0,0,21.42857143,27.27272727,0
51523,0,0,10.52631579,18.18181818,0
47908,0,0,7.692307692,9.090909091,0
4533,0,0,7.692307692,8.333333333,0
19654,0,0,5.263157895,16.66666667,0
60882,0,0,18.18181818,14.28571429,0
92378,0,0,9.090909091,14.28571429,0
26139,0,0,18.75,30,0
51454,0,0,10.52631579,25,0
90766,0,0,14.28571429,16.66666667,0
98053,0,0,5.263157895,16.66666667,0
48712,0,0,0,0,0
78068,0,0,16.66666667,22.22222222,0
14161,0,0,13.33333333,33.33333333,0
111457,0,0,6.666666667,14.28571429,0
58515,0,0,13.33333333,16.66666667,0
88849,0,0,18.75,27.27272727,0
106861,0,0,15.38461538,22.22222222,0
22632,0,0,35.71428571,35.71428571,1
94746,50,50,10,50,1
27119,0,0,12.5,28.57142857,0
53352,0,0,8.695652174,20,0
30385,0,0,10,9.090909091,0
71298,0,0,5.882352941,11.11111111,0
58081,0,0,6.25,20,0
108776,0,0,14.28571429,13.33333333,0
84756,0,0,6.666666667,11.11111111,0
86902,0,0,7.142857143,12.5,0
75892,0,0,20,16.66666667,0
18175,0,0,6.666666667,20,0
16479,0,0,14.28571429,28.57142857,0
52977,0,0,12.5,20,0
7319,0,0,6.666666667,20,0
51744,40,40,5.263157895,12.5,1
64818,0,0,0,0,0
29361,0,0,11.11111111,13.33333333,0
85172,0,0,15.38461538,16.66666667,0
26987,0,0,16.66666667,16.66666667,0
102682,0,0,9.090909091,12.5,0
109431,0,0,11.76470588,25,0
89942,0,0,16.66666667,22.22222222,0
28240,0,0,9.090909091,14.28571429,0
35919,0,0,6.25,7.692307692,0
19068,0,0,22.22222222,15.38461538,0
97167,25,25,10,11.11111111,0
84092,0,0,0,0,0
94582,0,0,5,14.28571429,0
56242,0,0,18.18181818,11.76470588,0
26305,0,0,5.882352941,16.66666667,0
17565,0,0,8.333333333,16.66666667,0
32260,0,0,16.66666667,18.18181818,0
111893,0,0,9.090909091,14.28571429,0
18374,20,25,20,33.33333333,1
44157,0,0,7.142857143,9.090909091,0
92355,0,0,9.090909091,11.11111111,0
42580,0,0,4.545454545,10,0
60002,0,0,6.666666667,10,0
114736,0,0,13.33333333,22.22222222,0
58927,50,100,45,75,1
102403,25,33.33333333,18.18181818,18.18181818,1
20063,0,0,6.25,14.28571429,0
100997,0,0,8.333333333,10,0
26731,0,0,8.333333333,7.692307692,0
29025,0,0,20,22.22222222,0
87853,0,0,13.33333333,33.33333333,1
34332,0,0,10.52631579,22.22222222,0
58749,0,0,13.33333333,22.22222222,0
93840,0,0,5.882352941,9.090909091,0
45462,0,0,11.76470588,28.57142857,0
109948,0,0,6.25,8.333333333,0
114549,0,0,20,23.07692308,0
65455,0,0,6.25,10,0
49095,0,0,6.666666667,25,0
49792,0,0,7.142857143,11.11111111,0
32805,0,0,6.25,16.66666667,0
104510,0,0,0,0,0
90856,0,0,7.142857143,7.692307692,0
9978,0,0,5.263157895,20,0
113669,0,0,0,0,0
57129,0,0,20,30,0
59555,0,0,16.66666667,20,0
50104,0,0,8.333333333,14.28571429,0
90138,0,0,8,20,0
52697,0,0,6.666666667,16.66666667,0
2622,0,0,7.142857143,11.11111111,0
87943,0,0,13.33333333,22.22222222,0
82276,0,0,11.11111111,25,0
72992,0,0,9.090909091,14.28571429,0
4975,0,0,15.78947368,25,0
55903,0,0,18.18181818,18.18181818,0
39135,0,0,10.52631579,14.28571429,0
108350,0,0,6.666666667,14.28571429,0
107042,0,0,20,13.33333333,0
35095,0,0,28.57142857,44.44444444,1
23881,0,0,5.882352941,12.5,0
79735,0,0,13.63636364,25,0
70492,0,0,11.76470588,11.76470588,0
87767,0,0,13.33333333,33.33333333,0
107221,0,0,0,0,0
1134,0,0,11.76470588,20,0
89960,0,0,16.66666667,20,0
26291,0,0,5.882352941,14.28571429,0
85768,0,0,0,0,0
26513,0,0,5.882352941,12.5,0
91091,0,0,7.142857143,11.11111111,0
4195,0,0,7.142857143,9.090909091,0
95105,0,0,7.142857143,10,0
59195,0,0,15,37.5,0
42768,0,0,6.666666667,14.28571429,0
7107,0,0,20,25,0
38613,0,0,11.76470588,25,0
95151,0,0,14.28571429,16.66666667,0
96104,0,0,14.28571429,25,0
101650,0,0,22.22222222,16.66666667,0
96703,0,0,16.66666667,42.85714286,1
97197,0,0,20,25,0
85164,0,0,7.692307692,11.11111111,0
81008,0,0,8.333333333,9.090909091,0
52618,0,0,13.33333333,22.22222222,0
29406,0,0,5.555555556,9.090909091,0
18050,0,0,6.666666667,14.28571429,0
830,0,0,7.142857143,10,0
38073,0,0,7.142857143,12.5,0
111122,0,0,8.333333333,10,0
21821,0,0,6.25,10,0
15731,0,0,7.142857143,9.090909091,0
50534,0,0,6.666666667,12.5,0
107667,0,0,6.25,11.11111111,0
68972,0,0,16.66666667,40,0
32789,0,0,12.5,22.22222222,0
52289,0,0,28.57142857,44.44444444,1
23807,0,0,11.76470588,28.57142857,0
104932,0,0,23.07692308,37.5,0
7965,0,0,7.692307692,9.090909091,0
71568,0,0,11.76470588,15.38461538,0
32943,0,0,18.75,23.07692308,0
15054,0,0,14.28571429,20,0
108479,0,0,6.666666667,12.5,0
53059,0,0,12.5,25,0
33463,0,0,12.5,22.22222222,0
12739,0,0,12.5,20,0
70498,0,0,11.76470588,18.18181818,0
7728,0,0,11.76470588,40,0
33065,0,0,14.28571429,33.33333333,0
69867,0,0,7.142857143,16.66666667,0
115231,0,0,33.33333333,15.38461538,0
105746,0,0,14.28571429,12.5,0
46767,0,0,8.333333333,16.66666667,0
10627,0,0,15,21.42857143,0
74038,0,0,8.333333333,11.11111111,0
68448,0,0,7.142857143,12.5,0
112216,0,0,7.142857143,14.28571429,0
88904,0,0,8.333333333,8.333333333,0
28748,0,0,18.18181818,20,0
94962,0,0,7.142857143,14.28571429,0
49256,0,0,16.66666667,22.22222222,0
8150,0,0,15.38461538,18.18181818,0
98048,0,0,10.52631579,18.18181818,0
111164,0,0,16.66666667,22.22222222,0
93319,0,0,5.555555556,12.5,0
114509,0,0,6.666666667,14.28571429,0
28276,0,0,18.18181818,25,0
19139,0,0,7.142857143,11.11111111,0
105259,0,0,11.76470588,28.57142857,0
85924,0,0,7.692307692,12.5,0
88839,0,0,6.25,12.5,0
105130,0,0,0,0,0
67388,0,0,5.882352941,12.5,0
48443,0,0,0,0,0
113557,0,0,23.07692308,37.5,0
68222,0,0,7.142857143,20,0
28150,0,0,9.090909091,8.333333333,0
39786,0,0,15.38461538,25,0
48496,0,0,0,0,0
46706,0,0,8.333333333,11.11111111,0
96140,0,0,7.142857143,14.28571429,0
49835,0,0,7.142857143,10,0
27484,0,0,6.666666667,8.333333333,0
61903,0,0,5.882352941,9.090909091,0
54999,0,0,7.692307692,11.11111111,0
94386,0,0,21.05263158,57.14285714,1
48188,0,0,25,42.85714286,0
97920,0,0,10.52631579,18.18181818,0
17407,0,0,25,33.33333333,0
53797,0,0,7.692307692,14.28571429,0
35800,0,0,6.25,20,0
45844,0,0,12.5,12.5,0
11243,0,0,6.666666667,20,0
21297,0,0,11.11111111,33.33333333,0
45486,0,0,5.882352941,6.666666667,0
47778,0,0,23.07692308,33.33333333,0
27466,0,0,13.33333333,28.57142857,0
5081,0,0,5.263157895,11.11111111,0
105437,33.33333333,66.66666667,7.142857143,9.090909091,1
66393,0,0,12.5,28.57142857,0
91410,0,0,26.31578947,45.45454545,0
7083,0,0,10,11.11111111,0
15214,0,0,14.28571429,18.18181818,0
90084,0,0,8,16.66666667,0
1343,0,0,11.76470588,28.57142857,0
64766,0,0,0,0,0
90587,0,0,8.333333333,10,0
4057,0,0,12.5,25,0
57657,0,0,11.11111111,18.18181818,0
84444,0,0,8.333333333,6.666666667,0
20180,0,0,6.25,10,0
75684,0,0,11.11111111,12.5,0
7853,0,0,17.64705882,21.42857143,0
57003,0,0,13.33333333,18.18181818,0
3631,0,0,7.142857143,12.5,0
96775,0,0,15.38461538,16.66666667,0
94529,0,0,5,8.333333333,0
103443,0,0,25,15.38461538,0
18057,0,0,13.33333333,18.18181818,0
57717,0,0,5.555555556,9.090909091,0
3102,0,0,11.76470588,20,0
44812,0,0,15.38461538,16.66666667,0
106998,0,0,20,40,0
109219,0,0,5.882352941,12.5,0
39744,0,0,7.692307692,12.5,0
86954,0,0,14.28571429,18.18181818,0
24838,0,0,7.142857143,11.11111111,0
10260,0,0,16.66666667,21.42857143,0
73932,0,0,16.66666667,18.18181818,0
73630,0,0,0,0,0
111927,0,0,9.090909091,16.66666667,0
2584,0,0,14.28571429,15.38461538,0
99163,50,50,27.77777778,55.55555556,1
62772,0,0,6.666666667,12.5,0
70247,0,0,5.882352941,10,0
114251,0,0,18.18181818,25,0
4491,0,0,7.142857143,12.5,0
61911,0,0,5.882352941,12.5,0
13497,0,0,15.38461538,22.22222222,0
116136,0,0,11.11111111,14.28571429,0
38500,0,0,5.882352941,16.66666667,0
5320,0,0,7.692307692,9.090909091,0
47634,0,0,15.38461538,20,0
82447,0,0,16.66666667,50,0
6190,0,0,20,23.07692308,0
115486,0,0,33.33333333,22.22222222,0
64291,0,0,21.42857143,18.75,0
90658,0,0,25,27.27272727,0
36211,0,0,6.666666667,10,0
40960,0,0,15.78947368,21.42857143,0
78892,0,0,10,16.66666667,0
24936,0,0,7.142857143,7.142857143,0
65875,0,0,0,0,0
67757,0,0,7.692307692,8.333333333,0
59536,0,0,16.66666667,33.33333333,0
34268,0,0,10.52631579,28.57142857,0
25991,0,0,12.5,14.28571429,0
56199,0,0,27.27272727,23.07692308,0
55126,0,0,7.142857143,16.66666667,0
41884,0,0,5.555555556,14.28571429,0
6354,0,0,6.666666667,14.28571429,0
74789,0,0,11.11111111,22.22222222,0
91603,0,0,6.666666667,16.66666667,0
45076,0,0,0,0,0
31993,0,0,9.523809524,22.22222222,0
40767,0,0,0,0,0
92930,0,0,9.090909091,10,0
89548,0,0,5.882352941,14.28571429,0
97389,0,0,10,10,0
86444,0,0,0,0,0
51417,20,25,10.52631579,22.22222222,0
32910,0,0,25,36.36363636,0
109010,0,0,0,0,0
18490,0,0,8.333333333,14.28571429,0
94591,0,0,5,14.28571429,0
66603,0,0,6.25,20,0
53387,0,0,4.347826087,20,0
104357,0,0,23.07692308,42.85714286,0
85528,0,0,14.28571429,9.090909091,0
72988,0,0,18.18181818,14.28571429,0
78220,0,0,8.333333333,11.11111111,0
107982,0,0,12.5,25,0
17451,0,0,8.333333333,12.5,0
49537,0,0,7.142857143,11.11111111,0
104487,0,0,15.38461538,33.33333333,0
31066,0,0,25,23.52941176,0
80885,0,0,0,0,0
68271,0,0,7.142857143,14.28571429,0
20059,0,0,6.25,12.5,0
27786,0,0,5,12.5,0
92672,0,0,18.18181818,16.66666667,0
81779,0,0,20,8.333333333,0
27712,0,0,6.666666667,11.11111111,0
51197,0,0,5.555555556,16.66666667,0
50428,0,0,6.666666667,16.66666667,0
88734,0,0,12.5,22.22222222,0
38127,0,0,7.142857143,11.11111111,0
55180,0,0,14.28571429,33.33333333,0
112203,0,0,21.42857143,16.66666667,0
835,0,0,14.28571429,14.28571429,0
47152,0,0,12.5,25,0
51725,0,0,15.78947368,42.85714286,0
102093,0,0,7.142857143,12.5,0
100526,0,0,10,6.666666667,0
6613,0,0,16.66666667,14.28571429,0
24451,0,0,18.18181818,22.22222222,0
64365,0,0,14.28571429,25,0
26393,0,0,5.882352941,14.28571429,0
36965,0,0,0,0,0
73306,0,0,0,0,0
33977,0,0,16.66666667,50,0
33422,0,0,12.5,16.66666667,0
74366,0,0,44.44444444,57.14285714,1
95260,0,0,6.25,9.090909091,0
47195,0,0,12.5,25,0
47964,0,0,7.692307692,12.5,0
13836,0,0,6.25,9.090909091,0
58294,0,0,8.333333333,14.28571429,0
2192,0,0,22.22222222,22.22222222,0
72489,0,0,0,0,0
54120,0,0,8.333333333,12.5,0
36936,0,0,5.555555556,7.142857143,0
347,0,0,5.882352941,20,0
57013,0,0,13.33333333,20,0
42731,0,0,4.545454545,9.090909091,0
17349,0,0,25,27.27272727,0
17826,0,0,6.25,12.5,0
77998,0,0,18.18181818,18.18181818,0
70274,0,0,11.76470588,22.22222222,0
53188,0,0,6.25,12.5,0
79156,0,0,20,11.11111111,0
337,0,0,17.64705882,33.33333333,0
80012,0,0,8.333333333,20,0
29765,0,0,12.5,28.57142857,0
61666,0,0,66.66666667,37.5,0
57158,0,0,13.33333333,18.18181818,0
10313,0,0,22.22222222,57.14285714,0
38703,0,0,11.76470588,11.11111111,0
75273,0,0,13.33333333,28.57142857,0
60033,0,0,6.666666667,8.333333333,0
46641,0,0,25,30,0
4607,0,0,15.38461538,28.57142857,0
32607,0,0,16.66666667,25,0
44845,0,0,7.692307692,11.11111111,0
63686,0,0,9.090909091,9.090909091,0
97918,0,0,10.52631579,20,0
32749,0,0,18.75,25,0
30200,0,0,9.090909091,20,0
45104,0,0,0,0,0
9783,0,0,5.263157895,8.333333333,0
83526,0,0,9.090909091,8.333333333,0
106401,0,0,7.142857143,8.333333333,0
